cycle,rank,feature,cycle_firing_frequency,global_firing_frequency,specificity,cycle_mean_activation
6,37,1016,0.15734375,0.150245361328125,0.007098388671875011,0.031001618467271327
6,38,265,0.1508203125,0.143729248046875,0.00709106445312499,0.030060054771602153
6,39,1155,0.11607421875,0.10906494140625,0.007009277343749995,0.04997082829475403
6,40,1706,0.1437109375,0.136796875,0.0069140624999999845,0.028612804301083088
6,41,1476,0.08005859375,0.07328369140625,0.00677490234375,0.03535055765882134
6,42,1674,0.0848828125,0.0781396484375,0.006743164062500001,0.038762945160269735
6,43,644,0.10607421875,0.099334716796875,0.0067395019531250044,0.025320858899503945
6,44,1633,0.07439453125,0.067684326171875,0.006710205078125003,0.026606496162712573
6,45,524,0.09603515625,0.089354248046875,0.006680908203125002,0.02248803894966841
6,46,84,0.0960546875,0.089384765625,0.006669921874999998,0.034187688156962395
6,47,539,0.11208984375,0.1054541015625,0.006635742187500002,0.04862405281513929
6,48,264,0.12193359375,0.115308837890625,0.006624755859374998,0.027280883751809596
6,49,467,0.0969140625,0.090308837890625,0.006605224609375002,0.02760323552414775
6,50,535,0.08666015625,0.080064697265625,0.006595458984374997,0.03632983196526766
7,1,1038,0.1439453125,0.1229296875,0.02101562500000001,0.04040158431977034
7,2,1839,0.1396484375,0.121485595703125,0.018162841796874996,0.04153303159400821
7,3,1871,0.1419921875,0.12495849609375,0.01703369140625001,0.03463790751993656
7,4,1778,0.1464453125,0.130107421875,0.016337890625000018,0.03766237208619714
7,5,1503,0.12978515625,0.11441162109375,0.015373535156250007,0.03539448118768632
7,6,304,0.13375,0.1187744140625,0.014975585937500008,0.03929289824794978
7,7,1861,0.13005859375,0.1152978515625,0.014760742187500009,0.02557798204012215
7,8,1862,0.13576171875,0.12116455078125,0.014597167968750005,0.03346346203237772
7,9,453,0.17458984375,0.160213623046875,0.014376220703124998,0.030771241597831248
7,10,1740,0.175703125,0.16189697265625,0.013806152343749989,0.03549452930688858
7,11,752,0.13921875,0.125938720703125,0.013280029296874996,0.03624066330492497
7,12,1068,0.19619140625,0.1829296875,0.013261718750000012,0.04256136439740658
7,13,624,0.13537109375,0.12231689453125,0.013054199218750007,0.026792328469455243
7,14,29,0.133828125,0.121600341796875,0.012227783203124995,0.024271713364869357
7,15,1997,0.120078125,0.10806884765625,0.01200927734375,0.032716229110956195
7,16,267,0.19068359375,0.1796484375,0.011035156249999983,0.041060481332242486
7,17,1978,0.1349609375,0.124383544921875,0.010577392578124983,0.03155489146709442
7,18,1706,0.1466796875,0.136796875,0.009882812499999977,0.029848190266638996
7,19,837,0.15474609375,0.145982666015625,0.008763427734374996,0.02833881162106991
7,20,1275,0.1170703125,0.10873779296875,0.008332519531249999,0.028231428395956756
7,21,908,0.12244140625,0.114134521484375,0.008306884765624994,0.022397524416446685
7,22,1307,0.18857421875,0.18060546875,0.007968749999999997,0.04000990454107523
7,23,245,0.145,0.137548828125,0.0074511718749999956,0.02750026235356927
7,24,350,0.1523046875,0.1448779296875,0.007426757812500018,0.03591429248452187
7,25,1245,0.11978515625,0.1124169921875,0.007368164062500002,0.023263532631099225
7,26,1990,0.15306640625,0.145731201171875,0.007335205078125018,0.028781944364309312
7,27,1737,0.0826171875,0.07529541015625,0.007321777343749988,0.020188955403864384
7,28,998,0.07841796875,0.071102294921875,0.007315673828124994,0.0419953659363091
7,29,1118,0.17017578125,0.16298583984375,0.007189941406249983,0.03107349343597889
7,30,1768,0.17216796875,0.165015869140625,0.007152099609375018,0.03118220079690218
7,31,330,0.10626953125,0.0991943359375,0.0070751953124999906,0.15936289697885514
7,32,346,0.09041015625,0.083948974609375,0.006461181640624994,0.018849685695022343
7,33,389,0.08255859375,0.076197509765625,0.006361083984375002,0.06312538366764783
7,34,1212,0.0671875,0.060887451171875,0.006300048828124995,0.051802240870893
7,35,2038,0.1027734375,0.0964892578125,0.006284179687499988,0.07699027478694916
7,36,303,0.126796875,0.120518798828125,0.006278076171875008,0.025068860072642564
7,37,509,0.090390625,0.084146728515625,0.006243896484374997,0.020628981981426476
7,38,1256,0.135625,0.129449462890625,0.00617553710937499,0.02736372996121645
7,39,1979,0.07091796875,0.0650146484375,0.005903320312500002,0.7972427588701249
7,40,1552,0.0815625,0.0756591796875,0.005903320312500002,0.02484755404293537
7,41,1901,0.06958984375,0.06371337890625,0.005876464843749998,0.04600055750459433
7,42,1088,0.179375,0.1735546875,0.005820312500000008,0.0417332711815834
7,43,1155,0.11486328125,0.10906494140625,0.00579833984375,0.04840887669473887
7,44,1076,0.1159765625,0.11018798828125,0.005788574218750009,0.05019820235669613
7,45,51,0.0762890625,0.070501708984375,0.00578735351562501,0.8501001799106598
7,46,3,0.124375,0.118597412109375,0.005777587890625005,0.02423219185322523
7,47,2047,0.17609375,0.1704150390625,0.005678710937499998,0.04023470416665077
7,48,1210,0.0670703125,0.061429443359375,0.0056408691406250044,0.04665865214541554
7,49,1630,0.07611328125,0.07047607421875,0.005637207031249994,0.13034905523061752
7,50,420,0.103125,0.09748779296875,0.005637207031249994,0.04952605165541172
8,1,1778,0.155078125,0.130107421875,0.02497070312500002,0.04065269470214844
8,2,1038,0.14671875,0.1229296875,0.023789062500000013,0.04188577691093087
8,3,1503,0.1363671875,0.11441162109375,0.021955566406249988,0.03788007162511349
8,4,1839,0.141171875,0.121485595703125,0.019686279296874998,0.042650119038298726
8,5,1871,0.14365234375,0.12495849609375,0.01869384765625,0.03467717099934817
8,6,304,0.1373828125,0.1187744140625,0.018608398437500007,0.04012386975809932
8,7,1997,0.1249609375,0.10806884765625,0.01689208984375,0.03374737367033959
8,8,1740,0.17814453125,0.16189697265625,0.01624755859374999,0.03603011077269912
8,9,1861,0.13125,0.1152978515625,0.015952148437500008,0.025654687006026508
8,10,1862,0.13703125,0.12116455078125,0.01586669921874999,0.03424363385885954
8,11,29,0.1358203125,0.121600341796875,0.014219970703125015,0.02542377071455121
8,12,245,0.15150390625,0.137548828125,0.013955078124999992,0.029500285014510155
8,13,1068,0.19671875,0.1829296875,0.013789062500000004,0.04285946249961853
8,14,624,0.1355859375,0.12231689453125,0.013269042968750006,0.025929740332067013
8,15,1706,0.14998046875,0.136796875,0.01318359375,0.03129631012678146
8,16,453,0.1726953125,0.160213623046875,0.012481689453125,0.02994374416768551
8,17,267,0.19212890625,0.1796484375,0.012480468750000001,0.04075886264443398
8,18,1990,0.1565234375,0.145731201171875,0.01079223632812501,0.029610642027109862
8,19,837,0.1567578125,0.145982666015625,0.010775146484374998,0.02882568284869194
8,20,1768,0.17494140625,0.165015869140625,0.009925537109374993,0.03191187590360642
8,21,1978,0.13408203125,0.124383544921875,0.009698486328125006,0.031904609464108946
8,22,1275,0.11806640625,0.10873779296875,0.009328613281250009,0.0286123857088387
8,23,2025,0.19318359375,0.18399169921875,0.009191894531249994,0.04193935412913561
8,24,1088,0.1823828125,0.1735546875,0.008828124999999992,0.04085381060838699
8,25,1964,0.17345703125,0.16499755859375,0.008459472656249994,0.03332651641219855
8,26,350,0.15302734375,0.1448779296875,0.008149414062499999,0.035845056138932706
8,27,389,0.083828125,0.076197509765625,0.007630615234374999,0.06481552511453628
8,28,346,0.09146484375,0.083948974609375,0.007515869140624992,0.018979125786572695
8,29,1210,0.0683203125,0.061429443359375,0.006890869140624992,0.04801307002082467
8,30,908,0.12087890625,0.114134521484375,0.006744384765625,0.022082275021821262
8,31,3,0.12525390625,0.118597412109375,0.006656494140624997,0.02393528513610363
8,32,1745,0.0872265625,0.08062744140625,0.006599121093749993,0.06519265737384558
8,33,361,0.15626953125,0.149910888671875,0.006358642578125018,0.025856156405061483
8,34,11,0.19091796875,0.1846044921875,0.006313476562500003,0.03780133575201035
8,35,1212,0.06716796875,0.060887451171875,0.006280517578124999,0.05319610603153706
8,36,1737,0.0813671875,0.07529541015625,0.006071777343749987,0.01956121187657118
8,37,1929,0.09373046875,0.08771728515625,0.006013183593749999,0.025829028114676477
